id,title,genres,popularity,release_date,budget,revenue,vote_average
24238,Mary and Max,Animation-Comedy-Drama,10.666,2009/2/9,8240000,1740429,7.9
244007,Mary Jane's Not a Virgin Anymore,Comedy-Drama-Romance,1.395,1998/3/22,50000,27,7.6
284288,Mary Kom,Action-Drama-History,5.998,2014/9/5,224056,15536328,7.1
400650,Mary Poppins Returns,Fantasy-Family-Comedy,26.691,2018/12/13,130000000,348807090,6.5
457136,Mary Queen of Scots,Drama-History,13.759,2018/12/7,25000000,37807625,6.6
9095,Mary Reilly,Drama-Horror-Thriller-History,9.532,1996/2/23,47000000,12379402,5.9
3036,Mary Shelley's Frankenstein,Drama-Horror-Science Fiction-Romance,14.063,1994/11/4,45000000,112006296,6.4
550494,Mask,Drama-Mystery,0.6,2005/9/26,10000,100000,0
555047,Maslakh,Drama,0.6,2016/10/19,10000,100000,0
727805,masquerade,Drama,0.6,2020/1/30,600,250,0
506669,Mastaneh,Drama-Family,0.6,2015/1/21,15000,50000,0
8619,Master and Commander: The Far Side of the World,Adventure-Drama-War,16.447,2003/11/14,150000000,212011111,7.1
213681,Masterminds,Action-Comedy-Crime,16.058,2016/9/29,25000000,29200000,5.7
116,Match Point,Drama-Thriller-Crime-Romance,15.359,2005/10/26,15000000,85306374,7.3
7270,Matchstick Men,Comedy-Drama-Crime-Thriller,10.062,2003/9/12,62000000,65565672,7
872428,Matichngel,Comedy-Horror,0.6,2015/6/14,10,2,10
10830,Matilda,Comedy-Family-Fantasy,53.538,1996/8/2,36000000,33459416,7.1
894199,Matilda the Musical,Drama-Family-Music,0.6,2010/11/9,16000000,1450000,7
139521,Matru Ki Bijlee Ka Mandola,Comedy-Drama,3.263,2013/1/10,6500000,8100000,5.6
496560,Maut Ki Dahshat,Horror,0.6,2004/4/16,23700,21330,0
496582,Maut Ki Haveli,Horror,0.961,2001/11/9,23700,20540,0
9359,Maverick,Action-Adventure-Comedy-Drama-Western,17.662,1994/5/20,75000000,183031272,6.8
272878,Max,Adventure-Drama,31.247,2015/6/26,20000000,43967255,7.1
392142,Max & Leon,War-Comedy,8.051,2016/11/1,12156348,8750678,6.4
34549,Max Keeble's Big Move,Comedy-Family,9.944,2001/10/5,25000000,18634654,5.6
